[kira-app][INFO] [2016-07-08 14:33:29] org.springframework.test.context.support.AbstractTestContextBootstrapper.getTestExecutionListeners(182) | Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@2f833eca, org.springframework.test.context.support.DirtiesContextTestExecutionListener@518f5824, org.springframework.test.context.transaction.TransactionalTestExecutionListener@19e3cd51, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3abc8e1e]
[kira-app][INFO] [2016-07-08 14:33:30] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [application.xml]
[kira-app][INFO] [2016-07-08 14:33:30] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [application-dao.xml]
[kira-app][INFO] [2016-07-08 14:33:30] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing org.springframework.context.support.GenericApplicationContext@7a03411a: startup date [Fri Jul 08 14:33:30 CST 2016]; root of context hierarchy
[kira-app][INFO] [2016-07-08 14:33:31] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from class path resource [config.properties]
[kira-app][INFO] [2016-07-08 14:33:31] com.alibaba.druid.pool.DruidDataSource.init(669) | {dataSource-1} inited
[kira-app][INFO] [2016-07-08 14:33:32] TestUserInfoService.testQueryById1(23) | com.kira.service.impl.UserInfoServiceImpl@7621447f
[kira-app][INFO] [2016-07-08 14:33:33] TestUserInfoService.testQueryById1(26) | UserInfo{id=1, name='shuxian', number=1}
[kira-app][INFO] [2016-07-08 14:33:33] org.springframework.context.support.AbstractApplicationContext.doClose(862) | Closing org.springframework.context.support.GenericApplicationContext@7a03411a: startup date [Fri Jul 08 14:33:30 CST 2016]; root of context hierarchy
[kira-app][INFO] [2016-07-08 14:33:33] com.alibaba.druid.pool.DruidDataSource.close(1385) | {dataSource-1} closed
[kira-app][INFO] [2016-07-08 14:33:54] org.springframework.test.context.support.AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(256) | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[kira-app][INFO] [2016-07-08 14:33:54] org.springframework.test.context.support.AbstractTestContextBootstrapper.instantiateListeners(204) | Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
[kira-app][INFO] [2016-07-08 14:33:54] org.springframework.test.context.support.AbstractTestContextBootstrapper.getTestExecutionListeners(182) | Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@44c9d92c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1fd0fafc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@510dc6b5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5f70bea5]
[kira-app][INFO] [2016-07-08 14:33:54] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [application.xml]
[kira-app][INFO] [2016-07-08 14:33:55] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [application-dao.xml]
[kira-app][INFO] [2016-07-08 14:33:55] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing org.springframework.context.support.GenericApplicationContext@3dbbd23f: startup date [Fri Jul 08 14:33:55 CST 2016]; root of context hierarchy
[kira-app][INFO] [2016-07-08 14:33:55] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from class path resource [config.properties]
[kira-app][INFO] [2016-07-08 14:33:55] com.alibaba.druid.pool.DruidDataSource.init(669) | {dataSource-1} inited
[kira-app][INFO] [2016-07-08 14:33:55] TestUserInfoService.testQueryById1(23) | com.kira.service.impl.UserInfoServiceImpl@52c4c57
[kira-app][INFO] [2016-07-08 14:33:55] org.springframework.context.support.AbstractApplicationContext.doClose(862) | Closing org.springframework.context.support.GenericApplicationContext@3dbbd23f: startup date [Fri Jul 08 14:33:55 CST 2016]; root of context hierarchy
[kira-app][INFO] [2016-07-08 14:33:55] com.alibaba.druid.pool.DruidDataSource.close(1385) | {dataSource-1} closed
[kira-app][INFO] [2016-07-08 14:34:34] org.springframework.test.context.support.AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(256) | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[kira-app][INFO] [2016-07-08 14:34:34] org.springframework.test.context.support.AbstractTestContextBootstrapper.instantiateListeners(204) | Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
[kira-app][INFO] [2016-07-08 14:34:34] org.springframework.test.context.support.AbstractTestContextBootstrapper.getTestExecutionListeners(182) | Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@144aa0ce, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f833eca, org.springframework.test.context.transaction.TransactionalTestExecutionListener@518f5824, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@19e3cd51]
[kira-app][INFO] [2016-07-08 14:34:34] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [application.xml]
[kira-app][INFO] [2016-07-08 14:34:35] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [application-dao.xml]
[kira-app][INFO] [2016-07-08 14:34:35] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing org.springframework.context.support.GenericApplicationContext@40589e56: startup date [Fri Jul 08 14:34:35 CST 2016]; root of context hierarchy
[kira-app][INFO] [2016-07-08 14:34:35] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from class path resource [config.properties]
[kira-app][INFO] [2016-07-08 14:34:36] com.alibaba.druid.pool.DruidDataSource.init(669) | {dataSource-1} inited
[kira-app][INFO] [2016-07-08 14:34:36] TestUserInfoService.testQueryById1(23) | com.kira.service.impl.UserInfoServiceImpl@4f536eec
[kira-app][INFO] [2016-07-08 14:34:36] TestUserInfoService.testQueryById1(26) | UserInfo{id=1, name='shuxian', number=1}
[kira-app][INFO] [2016-07-08 14:34:36] org.springframework.context.support.AbstractApplicationContext.doClose(862) | Closing org.springframework.context.support.GenericApplicationContext@40589e56: startup date [Fri Jul 08 14:34:35 CST 2016]; root of context hierarchy
[kira-app][INFO] [2016-07-08 14:34:36] com.alibaba.druid.pool.DruidDataSource.close(1385) | {dataSource-1} closed
